Date,Open,High,Low,Close,Volume,Ticker,Year-Month
2/5/21,2070,2102.51,2059.33,2098,1535135,GOOG,2021-2
2/8/21,2105.91,2123.55,2072,2092.91,1242411,GOOG,2021-2
2/9/21,2078.54,2105.13,2078.54,2083.51,889850,GOOG,2021-2
2/10/21,2094.21,2108.37,2063.09,2095.38,1135464,GOOG,2021-2
2/11/21,2099.51,2102.03,2077.32,2095.89,945650,GOOG,2021-2
2/12/21,2090.25,2108.82,2083.13,2104.11,855865,GOOG,2021-2
2/16/21,2104.36,2152.68,2104.36,2121.9,1133838,GOOG,2021-2
2/17/21,2100,2133.66,2098.92,2128.31,1070941,GOOG,2021-2
2/18/21,2110.39,2132.74,2103.71,2117.2,1121855,GOOG,2021-2
2/19/21,2119.27,2130.53,2097.41,2101.14,1457612,GOOG,2021-2
2/22/21,2067,2091.42,2062.14,2064.88,1367533,GOOG,2021-2
2/23/21,2025.01,2082.01,2002.02,2070.86,1667377,GOOG,2021-2
2/24/21,2041.83,2100.78,2038.13,2095.17,1248349,GOOG,2021-2
2/25/21,2067.45,2094.88,2021.29,2031.36,1828432,GOOG,2021-2
2/26/21,2050.52,2071.01,2016.06,2036.86,2083801,GOOG,2021-2
2/1/21,235.06,242.5,232.43,239.65,33314193,MSFT,2021-2
2/2/21,241.3,242.31,238.69,239.51,25916337,MSFT,2021-2
2/3/21,239.57,245.09,239.26,243,27158104,MSFT,2021-2
2/4/21,242.66,243.24,240.37,242.01,25296100,MSFT,2021-2
2/5/21,242.23,243.28,240.42,242.2,18054752,MSFT,2021-2
2/8/21,243.15,243.68,240.81,242.47,22211929,MSFT,2021-2
2/9/21,241.87,244.76,241.38,243.77,23564953,MSFT,2021-2
2/10/21,245,245.92,240.89,242.82,22186706,MSFT,2021-2
2/11/21,244.78,245.15,242.15,244.49,15751059,MSFT,2021-2
2/12/21,243.93,245.3,242.73,244.99,16561079,MSFT,2021-2
2/16/21,245.03,246.13,242.92,243.7,26728490,MSFT,2021-2
2/17/21,241.32,244.31,240.94,244.2,21673109,MSFT,2021-2
2/18/21,241.8,243.93,240.86,243.79,16925563,MSFT,2021-2
2/19/21,243.75,243.86,240.18,240.97,25262600,MSFT,2021-2
2/22/21,237.42,237.93,232.4,234.51,36446936,MSFT,2021-2
2/23/21,230.33,234.83,228.73,233.27,30228704,MSFT,2021-2
2/24/21,230.01,235.2,229,234.55,26339746,MSFT,2021-2
2/25/21,232.08,234.59,227.88,228.99,39542235,MSFT,2021-2
2/26/21,231.53,235.37,229.54,232.38,37819227,MSFT,2021-2
2/1/21,814.29,842,795.56,839.81,25391385,TSLA,2021-2
2/2/21,844.68,880.5,842.2,872.79,24346213,TSLA,2021-2
2/3/21,877.02,878.08,853.06,854.69,18343510,TSLA,2021-2
2/4/21,855,856.5,833.42,849.99,15812661,TSLA,2021-2
